章節,日文 (漢字/假名),中文釋義
Verb,浮く(うく),(自) 浮 / 動搖 / 脫離
Verb,承る(うけたまわる),(他) 恭聽 / 接受
Verb,薄める(うすめる),(他) 稀釋
Verb,討つ(うつ),(他) 攻擊
Verb,撃つ(うつ),(他) 射擊
Verb,映す(うつす),(他) 映照 / 放映
Verb,訴える(うったえる),(他) 控告 / 申訴
Verb,映る(うつる),(自) 映照
Verb,奪う(うばう),(他) 搶奪
Verb,埋まる(うまる),(自) 埋下
Verb,埋める(うめる),(他) 埋 / 填
Verb,敬う(うやまう),(他) 尊敬
Verb,裏返す(うらがえす),(他) 翻過來
Verb,裏切る(うらぎる),(他) 背叛
Verb,占う(うらなう),(他) 占卜
Verb,恨む(うらむ),(他) 怨恨
Verb,羨む(うらやむ),(他) 羨慕
Verb,覆う(おおう),(他) 覆蓋
Verb,犯す(おかす),(他) 犯下
Verb,侵す(おかす),(他) 侵入
Verb,拝む(おがむ),(他) 拜 / 「看」的自謙語
Verb,補う(おぎなう),(他) 補充
Verb,押える(おさえる),(他) 壓住
Verb,収める(おさめる),(他) 獲得 / 收藏
Verb,納める(おさめる),(他) 繳納 / 收納
Verb,教わる(おそわる),(他) 受教
Verb,脅かす(おどかす),(他) 威脅
Verb,劣る(おとる),(自) 差劣 / 不如
Verb,衰える(おとろえる),(自) 衰弱
Verb,溺れる(おぼれる),(自) 溺水 / 沉迷
Verb,及ぼす(およぼす),(他) 波及
Verb,下ろす(おろす),(他) 提取 / 卸下 / 撤下
Verb,降ろす(おろす),(他) 放下 / 卸下 / 撤下
Verb,卸す(おろす),(他) 批發 / 磨成泥
Verb,抱える(かかえる),(他) 抱 / 負擔
Verb,輝く(かがやく),(自) 閃爍
Verb,罹る(かかる),(自) 罹患
Verb,隠す(かくす),(他) 隱藏
Verb,隠れる(かくれる),(自) 隱蔽
Verb,稼ぐ(かせぐ),(他) 賺
Verb,固まる(かたまる),(自) 變硬 / 鞏固
Verb,傾く(かたむく),(自) 傾斜 / 衰落
Verb,片寄る(かたよる),(自) 偏袒
Verb,語る(かたる),(他) 講述
Verb,担ぐ(かつぐ),(他) 擔上 / 推舉 / 騙
Verb,兼ねる(かねる),(他) 兼任
Verb,被せる(かぶせる),(他) 蓋上 / 戴上 / 推卸
Verb,からかう,(他) 逗弄
Verb,刈る(かる),(他) 修剪
Verb,枯れる(かれる),(自) 枯萎
Verb,乾かす(かわかす),(他) 使...乾燥
Verb,刻む(きざむ),(他) 刻 / 切碎
Verb,傷つける(きずつける),(他) 弄傷
Verb,着せる(きせる),(他) 給穿上 / 加罪於
Verb,斬る(きる),(他) 砍
Verb,腐る(くさる),(自) 腐爛
Verb,崩す(くずす),(他) 瓦解 / 摧毀
Verb,崩れる(くずれる),(自) 崩潰 / 倒塌
Verb,砕く(くだく),(他) 打碎 / 摧毀
Verb,砕ける(くだける),(自) 破碎
Verb,くたびれる,(自) 疲勞 / 用舊
Verb,下る(くだる),(自) 下去
Verb,くっつく,(自) 黏在一起
Verb,くっつける,(他) 把...黏上
Verb,汲む/酌む(くむ),(他) 斟 / 汲取
Verb,悔む(くやむ),(他) 後悔
Verb,暮らす(くらす),(自/他) 過日子
Verb,狂う(くるう),(自) 發狂 / 亂 / 沉溺
Verb,くるむ,(他) 包裹
Verb,咥える(くわえる),(他) 叼
Verb,削る(けずる),(他) 削 / 削減
Verb,蹴る(ける),(他) 踢 / 駁回
Verb,凍る(こおる),(自) 凍結
Verb,焦がす(こがす),(他) 把...燒焦
Verb,焦げる(こげる),(自) 燒焦
Verb,凍える(こごえる),(自) 凍僵
Verb,心得る(こころえる),(他) 理解 / 掌握
Verb,こしらえる,(他) 炮製 / 籌款 / 打扮
Verb,擦る(こする),(他) 擦 / 摩擦
Verb,異なる(ことなる),(自) 不同
Verb,好む(このむ),(他) 喜好
Verb,こぼす,(他) 灑出 / 抱怨
Verb,こぼれる,(自) 灑掉 / 溢出 / 流露
Verb,込める(こめる),(他) 裝填 / 計算在內
Verb,堪える(こらえる),(他) 忍受
Verb,転がす(ころがす),(他) 轉動 / 推倒
Verb,転がる(ころがる),(自) 滾動 / 倒下
Verb,殺す(ころす),(他) 殺
Verb,遡る(さかのぼる),(自) 逆流而上 / 追溯
Verb,逆らう(さからう),(自) 逆 / 反
Verb,裂く(さく),(他) 撕開 / 拆散
Verb,探る(さぐる),(他) 探 / 探查
Verb,囁く(ささやく),(他) 低聲細語
Verb,刺さる(ささる),(自) 刺入
Verb,刺す(さす),(他) 刺
Verb,差す(さす),(他) 撐傘
Verb,指す(さす),(他) 指向
Verb,挿す(さす),(他) 插
Verb,注す(さす),(他) 注入
Verb,誘う(さそう),(他) 邀請
Verb,錆びる(さびる),(自) 生鏽
Verb,妨げる(さまたげる),(他) 妨礙
Verb,敷く(しく),(他) 鋪墊
Verb,茂る(しげる),(自) 茂盛
Verb,静まる(しずまる),(自) 靜下來
Verb,沈む(しずむ),(自) 沉下
Verb,痺れる(しびれる),(自) 麻木 / 麻痺
Verb,萎む(しぼむ),(自) 凋萎 / 萎縮
Verb,絞る(しぼる),(他) 擰
Verb,占める(しめる),(他) 佔有
Verb,湿る(しめる),(自) 潮濕 / 陰鬱
Verb,しゃがむ,(自) 蹲下
Verb,しゃぶる,(他) 吸吮
Verb,生じる(しょうじる),(自/他) 發生 / 產生
Verb,澄む/清む(すむ),(自) 清澈 / 明亮
Verb,ずらす,(他) 挪開 / 錯開
Verb,刷る(する),(他) 印刷
Verb,すれちがう,(自) 擦身而過
Verb,ずれる,(自) 錯位 / 偏離
Verb,背負う(せおう),(他) 背負
Verb,接する(せっする),(自/他) 接連
Verb,攻める(せめる),(他) 攻打
Verb,責める(せめる),(他) 責備
Verb,属する(ぞくする),(自) 屬於
Verb,注ぐ(そそぐ),(自/他) 倒入 / 流入 / 貫注
Verb,備える/具える(そなえる),(他) 具備
Verb,剃る(そる),(他) 剃
Verb,揃う(そろう),(自) 齊集 / 一致
Verb,揃える(そろえる),(他) 使一致 / 集齊
Verb,存じる(ぞんじる),(自) 「想」「知道」的自謙語
Verb,耕す(たがやす),(他) 耕
Verb,炊く(たく),(他) 煮
Verb,焚く(たく),(他) 焚燒
Verb,抱く(だく),(他) 抱
Verb,蓄える(たくわえる),(他) 留備
Verb,戦う(たたかう),(自) 戰鬥
Verb,叩く(たたく),(他) 拍打
Verb,達する(たっする),(自/他) 達到
Verb,例える(たとえる),(他) 比喻
Verb,ためらう,(他) 猶豫
Verb,誓う(ちかう),(他) 發誓
Verb,千切る(ちぎる),(他) 撕碎 / 摘下
Verb,縮む(ちぢむ),(自) 收縮 / 畏縮
Verb,縮める(ちぢめる),(他) 縮小 / 縮短
Verb,縮れる(ちぢれる),(自) 起縐 / 捲曲
Verb,就く(つく),(自) 從事
Verb,突く(つく),(他) 捅 / 撞
Verb,伝わる(つたわる),(自) 傳遞
Verb,繋がる(つながる),(自) 有連繫
Verb,繋ぐ(つなぐ),(他) 繫 / 連起 / 維繫
Verb,繋げる(つなげる),(他) 連繫
Verb,潰す(つぶす),(他) 弄碎 / 消磨
Verb,潰れる(つぶれる),(自) 毀壞
Verb,詰まる(つまる),(自) 塞滿 / 收縮
Verb,積む(つむ),(他) 堆積
Verb,詰める(つめる),(他) 填塞 / 縮短
Verb,積もる(つもる),(自) 堆積
Verb,吊る(つる),(他) 吊 / 掛
Verb,適する(てきする),(自) 適合
Verb,照らす(てらす),(他) 照 / 對照
Verb,尖る(とがる),(自) 尖
Verb,退く(どく),(自) 退開
Verb,遂げる(とげる),(他) 達成
Verb,退ける(どける),(他) 挪開
Verb,整う(ととのう),(自) 整齊
Verb,怒鳴る(どなる),(自) 大聲叫喊
Verb,捕らえる(とらえる),(他) 捉住
Verb,捕る(とる),(他) 捕捉
Verb,長引く(ながぴく),(自) 延長
Verb,慰める(なぐさめる),(他) 安慰
Verb,亡くす(なくす),(他) 死亡
Verb,撫でる(なでる),(他) 撫摸
Verb,怠ける(なまける),(他) 疏於
Verb,悩む(なやむ),(自) 煩惱
Verb,倣う(ならう),(自) 仿傚
Verb,馴れる(なれる),(自) 被馴服
Verb,煮える(にえる),(自) 煮
Verb,匂う(におう),(自) 散發味道
Verb,憎む(にくむ),(他) 憎恨
Verb,濁る(にごる),(自) 渾濁
Verb,睨む(にらむ),(他) 怒視
Verb,煮る(にる),(他) 煮 / 燉 / 熬
Verb,抜く(ぬく),(他) 拔出 / 省略
Verb,抜ける(ぬける),(自) 脫落 / 遺漏
Verb,捻る(ねじる),(他) 扭 / 扭曲
Verb,熱する(ねっする),(自/他) 加熱 / 熱衷
Verb,狙う(ねらう),(他) 瞄準
Verb,はう,(自) 爬
Verb,生える(はえる),(自) 生長
Verb,剥す(はがす),(他) 剝去 / 撕去
Verb,掃く(はく),(他) 打掃
Verb,吐く(はく),(他) 吐 / 呼
Verb,挟まる(はさまる),(自) 夾在兩者之間
Verb,挟む(はさむ),(他) 夾
Verb,外す(はずす),(他) 摘去 / 離開
Verb,外れる(はずれる),(自) 脫落 / 落空
Verb,罰する(ばっする),(他) 處罰
Verb,跳ねる(はねる),(自) 跳 / 飛濺 / 爆開
Verb,省く(はぶく),(他) 省去 / 省略
Verb,嵌める(はめる),(他) 鑲嵌 / 使陷入
Verb,反する(はんする),(自) 相反 / 違反 / 造反
Verb,轢く(ひく),(他) 輾
Verb,捻る(ひねる),(他) 扭 / 扭轉
Verb,殖える(ふえる),(自) 繁殖
Verb,膨らます(ふくらます),(他) 使脹起
Verb,膨らむ(ふくらむ),(自) 鼓起 / 擴大
Verb,塞がる(ふさがる),(自) 堵塞 / 閉上 / 佔滿
Verb,塞ぐ(ふさぐ),(他) 堵塞 / 佔據 / 悶悶不樂
Verb,ふざける,(自) 開玩笑
Verb,殖やす(ふやす),(他) 繁殖
Verb,ぶら下げる(ぶらさげる),(自) 佩帶 / 懸掛
Verb,振舞う(ふるまう),(自/他) 舉動 / 請客
Verb,触れる(ふれる),(自/他) 觸碰 / 觸犯
Verb,凹む(へこむ),(自) 凹陷
Verb,隔てる(へだてる),(他) 隔開
Verb,放る(ほうる),(他) 拋
Verb,吠える(ほえる),(自) 吠叫
Verb,干す(ほす),(他) 弄乾
Verb,解く(ほどく),(他) 解開 / 拆開
Verb,掘る(ほる),(他) 挖
Verb,彫る(ほる),(他) 雕刻
Verb,任せる(まかせる),(他) 委託
Verb,蒔く/撒く(まく),(他) 播 / 撒 / 散佈
Verb,混ざる/交ざる(まざる),(自) 混合
Verb,混ぜる/交ぜる(まぜる),(他) 混合
Verb,跨ぐ(またぐ),(他) 跨越
Verb,祭る(まつる),(他) 供奉
Verb,見下ろす(みおろす),(他) 往下看 / 蔑視
Verb,乱す(みだす),(他) 擾亂
Verb,乱れる(みだれる),(自) 混亂
Verb,満ちる(みちる),(自) 充滿 / 圓滿
Verb,実る(みのる),(自) 結果實 / 成熟
Verb,診る(みる),(他) 診察
Verb,蒸す(むす),(自/他) 蒸 / 悶熱
Verb,命じる(めいじる),(他) 命令 / 任命
Verb,恵まれる(めぐまれる),(自) 富有
Verb,儲かる(もうかる),(自) 賺 / 得便宜
Verb,儲ける(もうける),(他) 賺 / 得便宜
Verb,燃える(もえる),(自) 燃燒
Verb,潜る(もぐる),(自) 潛入
Verb,凭れる(もたれる),(自) 倚靠
Verb,用いる(もちいる),(他) 使用 / 採用
Verb,戻す(もどす),(他) 歸還 / 退回
Verb,物語る(ものがたる),(他) 說故事
Verb,揉む(もむ),(他) 揉 / 按摩
Verb,燃やす(もやす),(他) 燃燒
Verb,盛る(もる),(他) 盛 / 堆高
Verb,訳す(やくす),(他) 翻譯
Verb,雇う(やとう),(他) 僱用
Verb,破れる(やぶれる),(自) 破損
Verb,敗れる(やぶれる),(自) 敗
Verb,茹でる(ゆでる),(他) 熱水煮
Verb,よこす,(他) 寄來 / 交給
Verb,止す(よす),(他) 停止
Verb,因る(よる),(自) 根據 / 因為
Verb,略す(りゃくす),(他) 省略
Verb,論じる(ろんじる),(他) 論述
Verb,湧く(わく),(自) 湧現
Verb,詫びる(わびる),(他) 道歉
